['rongcheng', u'2016-01-26 23:00:00', u'65', u'46', u'68', u'0.84', u'23', u'40', u'42', u'11']
['yuxi', u'2016-01-26 23:00:00', u'28', u'19', u'24', u'1.24', u'19', u'26', u'26', u'8']
['haimen', u'2016-01-26 23:00:00', u'0', u'0', u'0', u'0.0', u'0', u'0', u'0', u'0']
['tulufandiqu', u'2016-01-26 23:00:00', u'107', u'77', u'161', u'4.13', u'70', u'17', u'32', u'24']
['kunming', u'2016-01-26 23:00:00', u'29', u'17', u'27', u'0.83', u'19', u'49', u'56', u'10']
['suzhou', u'2016-01-26 23:00:00', u'94', u'70', u'122', u'1.14', u'113', u'5', u'27', u'22']
['wuwei', u'2016-01-26 23:00:00', u'133', u'101', u'151', u'4.17', u'84', u'9', u'42', u'106']
['baoshan', u'2016-01-26 23:00:00', u'53', u'26', u'53', u'0.96', u'15', u'63', u'77', u'10']
['baishan', u'2016-01-26 23:00:00', u'108', u'80', u'110', u'1.92', u'60', u'19', u'47', u'104']
['enshizhou', u'2016-01-26 23:00:00', u'137', u'104', u'151', u'0.59', u'48', u'3', u'22', u'12']
['haidongdiqu', u'2016-01-26 23:00:00', u'80', u'24', u'108', u'1.52', u'55', u'41', u'41', u'66']
['xian', u'2016-01-26 23:00:00', u'127', u'95', u'201', u'3.23', u'82', u'12', u'32', u'51']
['jinzhong', u'2016-01-26 23:00:00', u'89', u'66', u'114', u'2.92', u'39', u'5', u'16', u'126']
['hechi', u'2016-01-26 23:00:00', u'61', u'43', u'46', u'0.89', u'15', u'67', u'77', u'6']
['laibin', u'2016-01-26 23:00:00', u'85', u'62', u'68', u'0.92', u'24', u'50', u'54', u'31']
['huzhou', u'2016-01-26 23:00:00', u'88', u'65', u'120', u'1.12', u'79', u'26', u'39', u'29']
['kezhou', u'2016-01-26 23:00:00', u'157', u'71', u'261', u'0.63', u'24', u'47', u'57', u'1']
