['guangan', u'2016-01-26 23:00:00', u'\u5317\u8fb0\u5c0f\u5b66', u'132', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'100', u'178', u'1.086', u'42', u'10', u'50', u'20']
['hezhou', u'2016-01-26 23:00:00', u'\u653f\u534f\u5927\u697c', u'55', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'22', u'60', u'0.758', u'28', u'46', u'45', u'11']
['alashanmeng', u'2016-01-26 23:00:00', u'\u73af\u4fdd\u5c40\u65b0\u697c', u'35', u'\u4f18', u'_', u'24', u'30', u'0.342', u'4', u'92', u'84', u'10']
['langfang', u'2016-01-26 23:00:00', u'\u5317\u534e\u822a\u5929\u5b66\u9662', u'107', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'80', u'103', u'1.523', u'91', u'10', u'16', u'55']
['yibin', u'2016-01-26 23:00:00', u'\u6c99\u576a\u4e2d\u5b66', u'104', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'78', u'99', u'0.781', u'18', u'24', u'49', u'17']
['liyang', u'2016-01-26 23:00:00', u'\u71d5\u5c71\u5b50\u7ad9', u'88', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'65', u'123', u'0.677', u'61', u'23', u'44', u'6']
['dandong', u'2016-01-26 23:00:00', u'\u6c11\u4e3b\u6865', u'140', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'107', u'173', u'5.492', u'56', u'16', u'22', u'76']
['fuxin', u'2016-01-26 23:00:00', u'\u7389\u9f99\u65b0\u57ce', u'108', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'81', u'136', u'2.311', u'55', u'7', u'21', u'137']
['datong', u'2016-01-26 23:00:00', u'\u6559\u80b2\u5b66\u9662', u'52', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'36', u'40', u'2.344', u'51', u'9', u'43', u'146']
['anqing', u'2016-01-26 23:00:00', u'\u5b89\u5e86\u5927\u5b66', u'87', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'59', u'123', u'0.579', u'136', u'9', u'18', u'17']
['kelamayi', u'2016-01-26 23:00:00', u'\u4e4c\u5c14\u79be\u533a\u5546\u8d38\u697c', u'94', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'70', u'126', u'1.889', u'33', u'23', u'40', u'4']
['pingliang', u'2016-01-26 23:00:00', u'\u535a\u7269\u9986', u'109', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'82', u'117', u'1.731', u'81', u'28', u'70', u'58']
['shanwei', u'2016-01-26 23:00:00', u'\u65b0\u57ce\u4e2d\u5b66', u'33', u'\u4f18', u'_', u'23', u'28', u'0.735', u'13', u'53', u'55', u'7']
